ticker;scenario;entry_date;entry_price;exit_date;exit_price;exit_reason;return_pct;max_drawdown_pct;holding_weeks;score;fib_retracement;stop_price;target_1618;target_2618;hit_target_1;hit_target_2;weeks_to_target_1;max_favorable_excursion;precio_punto0;precio_puntoC;bolsa;ratio_volumen;pct_sobre_linea;close_strength;weeks_since_c;w1_duration;w2_duration;avg_volume_w2
CL;C;2019-01-28;54.465;2020-01-27;63.3004;TIMEOUT;0.1622;-0.0085;52;64;0.6468;54.465;86.6272;110.6577;False;False;;0.1889;39.2578;47.7458;US;1.4205;0.0111;0.9452;13;126;40;20078782.5
HPE;C;2019-01-28;12.4514;2020-01-27;11.3944;TIMEOUT;-0.0849;-0.1899;52;67;0.548;9.1125;25.7455;35.729;False;False;;0.1468;5.0793;9.5921;US;1.4524;0.3024;0.7848;5;111;42;54508164.28571428
ARES;A;2019-02-11;17.9168;2020-02-10;32.3045;TIMEOUT;0.803;-0.0456;52;47;0.3875;6.8843;34.0058;46.1651;False;False;;0.8873;6.8843;14.3322;US;1.3927;0.0281;0.9812;15;112;34;2384817.6470588236
CBRE;A;2019-02-11;50.04;2020-02-10;63.96;TIMEOUT;0.2782;-0.0975;52;64;0.4932;24.11;80.0358;106.3558;False;False;;0.294;24.11;37.45;US;1.4621;0.2018;0.9548;7;107;22;9367190.909090908
ARES;B;2019-02-11;17.9168;2020-02-10;32.3045;TIMEOUT;0.803;-0.0456;52;47;0.3875;14.3322;34.0058;46.1651;False;False;;0.8873;6.8843;14.3322;US;1.3927;0.0281;0.9812;15;112;34;2384817.6470588236
CBRE;B;2019-02-11;50.04;2020-02-10;63.96;TIMEOUT;0.2782;-0.0975;52;64;0.4932;37.45;80.0358;106.3558;False;False;;0.294;24.11;37.45;US;1.4621;0.2018;0.9548;7;107;22;9367190.909090908
ARES;C;2019-02-11;17.9168;2020-02-10;32.3045;TIMEOUT;0.803;-0.0456;52;47;0.3875;29.7566;34.0058;46.1651;False;False;;0.8873;6.8843;14.3322;US;1.3927;0.0281;0.9812;15;112;34;2384817.6470588236
CBRE;C;2019-02-11;50.04;2020-02-10;63.96;TIMEOUT;0.2782;-0.0975;52;64;0.4932;56.98;80.0358;106.3558;False;False;;0.294;24.11;37.45;US;1.4621;0.2018;0.9548;7;107;22;9367190.909090908
J;A;2019-02-18;57.9558;2020-02-17;81.5113;TIMEOUT;0.4064;-0.0478;52;67;0.437;26.4628;89.9063;118.9952;False;False;;0.4083;26.4628;42.8406;US;1.7106;0.103;0.9933;8;103;47;7404092.468085106
PWR;A;2019-02-18;35.8182;2020-02-17;39.466;TIMEOUT;0.1018;-0.118;52;50;0.4952;16.4438;62.3403;83.9614;False;False;;0.2124;16.4438;27.3573;US;1.4972;0.0242;0.6981;8;54;96;7088882.291666667
J;B;2019-02-18;57.9558;2020-02-17;81.5113;TIMEOUT;0.4064;-0.0478;52;67;0.437;42.8406;89.9063;118.9952;False;False;;0.4083;26.4628;42.8406;US;1.7106;0.103;0.9933;8;103;47;7404092.468085106
PWR;B;2019-02-18;35.8182;2020-02-17;39.466;TIMEOUT;0.1018;-0.118;52;50;0.4952;27.3573;62.3403;83.9614;False;False;;0.2124;16.4438;27.3573;US;1.4972;0.0242;0.6981;8;54;96;7088882.291666667
J;C;2019-02-18;57.9558;2019-12-02;67.6023;STOP_C_P3;0.1664;-0.0478;41;67;0.437;67.6023;89.9063;118.9952;False;False;;0.3255;26.4628;42.8406;US;1.7106;0.103;0.9933;8;103;47;7404092.468085106
PWR;C;2019-02-18;35.8182;2020-02-17;39.466;TIMEOUT;0.1018;-0.118;52;50;0.4952;35.8182;62.3403;83.9614;False;False;;0.2124;16.4438;27.3573;US;1.4972;0.0242;0.6981;8;54;96;7088882.291666667
AMG.AS;A;2019-02-25;28.5596;2020-02-24;18.708;TIMEOUT;-0.3449;-0.4512;52;51;0.6368;11.9001;69.228;98.1646;False;False;;0.0195;11.9001;22.4086;AS;2.0279;0.1295;0.1818;8;57;50;1438039.8
MAR;A;2019-02-25;117.7729;2020-02-24;119.12;TIMEOUT;0.0114;-0.0664;52;56;0.5018;51.0902;237.2515;325.2229;False;False;;0.2462;51.0902;94.9139;US;1.3402;0.082;0.2799;9;106;47;10590489.361702127
